part_id,part_name,category,material,material_grade,thickness_mm,length_mm,width_mm,weight_kg,bend_count,hole_count,surface_finish,finish_cost_per_part,material_rate_per_kg,cycle_time_min,energy_kwh_per_part,energy_rate_per_kwh,labour_hours,labour_rate_per_hour,overhead_pct,supplier_margin_pct,current_supplier,supplier_region,erp_price,annual_volume,engineering_status,prediction_status,drawing_source_file,drawing_extraction_confidence,engineering_data_source,drawing_stored_path,drawing_sha256,drawing_committed_at_utc
SM-1103,Access cover 103,Cover / panel,Galvanized Steel,GI G90,3.0,744.0,242.0,3.69,4.0,14.0,Passivated,41.41,96.66,26.2,1.29,10.0,0.48,1900,24,9,PrecisionPanel,USA,1551.95,11403,Baseline ready,Ready,,,,,,
SM-1104,Mounting bracket 104,Bracket,Mild Steel,IS 2062 E250,4.0,515.0,370.0,4.99,10.0,21.0,Powder coated,43.83,77.48,42.3,1.79,10.0,0.76,1900,24,11,PrecisionPanel,USA,2321.72,13443,Baseline ready,Ready,,,,,,
SM-1105,Mounting bracket 105,Bracket,Mild Steel,IS 2062 E350,4.0,206.0,397.0,2.4,10.0,27.0,Zinc plated,18.81,86.57,38.7,1.21,10.0,0.71,1900,35,9,PrecisionPanel,USA,2285.02,14474,Baseline ready,Ready,,,,,,
SM-1106,Welded support 106,Fabricated assembly,Stainless Steel,SS304,1.2,491.0,396.0,1.48,3.0,12.0,Passivated,44.72,141.37,18.9,0.72,7.8,0.38,340,24,9,FabriMax,Vietnam,543.15,17235,Baseline ready,Ready,,,,,,
SM-1107,Welded support 107,Fabricated assembly,Stainless Steel,SS304,4.0,659.0,118.0,2.36,9.0,6.0,Passivated,17.89,140.66,29.5,1.05,7.8,0.47,340,35,10,AsiaForm,Vietnam,866.89,14941,Baseline ready,Ready,,,,,,
SM-1108,Mounting bracket 108,Bracket,Mild Steel,IS 2062 E250,2.0,812.0,323.0,4.41,9.0,11.0,Passivated,60.32,76.47,35.7,1.57,7.5,0.58,460,22,11,DragonSheet,China,1403.56,15037,Baseline ready,Ready,,,,,,
SM-1109,Access cover 109,Cover / panel,Galvanized Steel,GI G90,2.0,916.0,471.0,6.2,6.0,7.0,Powder coated,99.23,96.98,32.9,1.9,7.8,0.52,340,27,11,AsiaForm,Vietnam,1177.19,3961,Baseline ready,Ready,,,,,,
SM-1110,Welded support 110,Fabricated assembly,Stainless Steel,SS304,1.2,411.0,165.0,0.64,4.0,16.0,Powder coated,15.6,153.42,20.2,0.57,7.8,0.31,340,27,11,AsiaForm,Vietnam,452.16,1473,Baseline ready,Ready,,,,,,
SM-1111,Access cover 111,Cover / panel,Galvanized Steel,GI G90,2.5,634.0,462.0,4.76,1.0,13.0,Powder coated,67.37,87.74,22.8,1.47,8.5,0.45,390,24,10,SteelWorks,India,945.65,5108,Baseline ready,Ready,,,,,,
SM-1112,Mounting bracket 112,Bracket,Mild Steel,IS 2062 E250,5.0,603.0,222.0,5.26,7.0,16.0,Painted,30.79,83.29,35.8,1.75,7.8,0.54,340,22,13,FabriMax,Vietnam,967.3,17894,Baseline ready,Ready,,,,,,
SM-1113,Access cover 113,Cover / panel,Galvanized Steel,GI G90,5.0,415.0,323.0,4.47,0.0,9.0,Passivated,30.83,95.04,19.0,1.35,8.5,0.34,390,27,13,SteelWorks,India,708.92,1138,Baseline ready,Ready,,,,,,
SM-1114,Welded support 114,Fabricated assembly,Stainless Steel,SS304,1.6,855.0,227.0,2.06,0.0,21.0,Zinc plated,44.64,142.28,17.9,0.84,10.0,0.31,1900,20,13,PrecisionPanel,USA,1216.84,12416,Baseline ready,Ready,,,,,,
SM-1115,Mounting bracket 115,Bracket,Mild Steel,IS 2062 E250,3.0,639.0,599.0,8.41,6.0,17.0,Painted,88.04,80.55,41.2,2.49,10.0,0.82,1900,20,11,PrecisionPanel,USA,2810.02,2813,Baseline ready,Ready,,,,,,
SM-1116,Control plate 116,Mounting plate,CRCA Steel,CRCA IS 513,4.0,792.0,186.0,4.65,5.0,6.0,Painted,33.88,85.64,27.3,1.5,8.5,0.46,390,27,12,PlatePro,India,904.29,6572,Baseline ready,Ready,,,,,,
SM-1117,Mounting bracket 117,Bracket,Mild Steel,IS 2062 E350,4.0,914.0,548.0,11.99,3.0,3.0,Powder coated,115.2,87.34,38.8,3.19,8.5,0.64,390,35,12,SteelWorks,India,2137.52,8900,Baseline ready,Ready,,,,,,
SM-1118,Mounting bracket 118,Bracket,Mild Steel,IS 2062 E250,4.0,315.0,372.0,3.19,0.0,22.0,Zinc plated,26.95,76.87,20.7,1.12,7.8,0.39,340,27,12,AsiaForm,Vietnam,591.76,13269,Baseline ready,Ready,,,,,,
SM-1119,Control plate 119,Mounting plate,CRCA Steel,CRCA IS 513,2.5,828.0,589.0,8.34,8.0,10.0,Painted,112.17,89.83,42.2,2.48,8.5,0.65,390,22,13,PlatePro,India,1613.14,10226,Baseline ready,Ready,,,,,,
SM-1120,Control plate 120,Mounting plate,CRCA Steel,CRCA IS 513,1.2,455.0,382.0,1.39,9.0,24.0,Passivated,39.98,83.56,33.7,0.92,8.5,0.58,390,24,13,SteelWorks,India,741.78,14852,Baseline ready,Ready,,,,,,
